annee;libelle_region_admin;risque;nb_salaries;nb_sinistres_int
2005;Guadeloupe;Accidents de trajet;86011;214
2005;Guadeloupe;Accidents du travail;86011;1396
2005;Guadeloupe;Maladies professionnelles;86011;20
2005;Martinique;Accidents de trajet;89687;185
2005;Martinique;Accidents du travail;89687;1520
2005;Martinique;Maladies professionnelles;89687;2
2005;Guyane;Accidents de trajet;29082;48
2005;Guyane;Accidents du travail;29082;428
2005;Guyane;Maladies professionnelles;29082;5
2005;La Réunion;Accidents de trajet;154410;389
2005;La Réunion;Accidents du travail;154410;3766
2005;La Réunion;Maladies professionnelles;154410;89
2005;Mayotte;Accidents de trajet;0;0
2005;Mayotte;Accidents du travail;0;0
2005;Mayotte;Maladies professionnelles;0;0
2005;Ile-de-France;Accidents de trajet;4467957;23218
2005;Ile-de-France;Accidents du travail;4467957;118545
2005;Ile-de-France;Maladies professionnelles;4467957;2611
2005;Centre-Val de Loire;Accidents de trajet;667926;3072
2005;Centre-Val de Loire;Accidents du travail;667926;30023
2005;Centre-Val de Loire;Maladies professionnelles;667926;1396
2005;Bourgogne-Franche-Comté;Accidents de trajet;735624;2966
2005;Bourgogne-Franche-Comté;Accidents du travail;735624;31965
2005;Bourgogne-Franche-Comté;Maladies professionnelles;735624;1680
2005;Normandie;Accidents de trajet;910513;3774
2005;Normandie;Accidents du travail;910513;36532
2005;Normandie;Maladies professionnelles;910513;1528
2005;Hauts-de-France;Accidents de trajet;1578455;5674
2005;Hauts-de-France;Accidents du travail;1578455;63591
2005;Hauts-de-France;Maladies professionnelles;1578455;1105
2005;Grand Est;Accidents de trajet;1463724;6142
2005;Grand Est;Accidents du travail;1463724;63031
2005;Grand Est;Maladies professionnelles;1463724;3583
2005;Pays de la Loire;Accidents de trajet;991699;4264
2005;Pays de la Loire;Accidents du travail;991699;42581
2005;Pays de la Loire;Maladies professionnelles;991699;2576
2005;Bretagne;Accidents de trajet;809696;2927
2005;Bretagne;Accidents du travail;809696;36227
2005;Bretagne;Maladies professionnelles;809696;3665
2005;Nouvelle-Aquitaine;Accidents de trajet;1391769;5547
2005;Nouvelle-Aquitaine;Accidents du travail;1391769;56839
2005;Nouvelle-Aquitaine;Maladies professionnelles;1391769;1447
2005;Occitanie;Accidents de trajet;1280732;5157
2005;Occitanie;Accidents du travail;1280732;54214
2005;Occitanie;Maladies professionnelles;1280732;1109
2005;Auvergne-Rhône-Alpes;Accidents de trajet;2237916;9257
2005;Auvergne-Rhône-Alpes;Accidents du travail;2237916;96685
2005;Auvergne-Rhône-Alpes;Maladies professionnelles;2237916;2176
2005;Provence-Alpes-Côte d'Azur;Accidents de trajet;1250413;6377
2005;Provence-Alpes-Côte d'Azur;Accidents du travail;1250413;54049
2005;Provence-Alpes-Côte d'Azur;Maladies professionnelles;1250413;1178
2005;Corse;Accidents de trajet;66383;314
2005;Corse;Accidents du travail;66383;3330
2005;Corse;Maladies professionnelles;66383;151
2005;FRANCE;Accidents de trajet;18211997;79525
2005;FRANCE;Accidents du travail;18211997;694722
2005;FRANCE;Maladies professionnelles;18211997;24321
2006;Guadeloupe;Accidents de trajet;86983;175
2006;Guadeloupe;Accidents du travail;86983;1192
2006;Guadeloupe;Maladies professionnelles;86983;19
2006;Martinique;Accidents de trajet;92607;279
2006;Martinique;Accidents du travail;92607;2203
2006;Martinique;Maladies professionnelles;92607;4
2006;Guyane;Accidents de trajet;29653;48
2006;Guyane;Accidents du travail;29653;373
2006;Guyane;Maladies professionnelles;29653;10
2006;La Réunion;Accidents de trajet;160937;433
2006;La Réunion;Accidents du travail;160937;3728
2006;La Réunion;Maladies professionnelles;160937;76
2006;Mayotte;Accidents de trajet;0;0
2006;Mayotte;Accidents du travail;0;0
2006;Mayotte;Maladies professionnelles;0;0
2006;Ile-de-France;Accidents de trajet;4525851;22760
2006;Ile-de-France;Accidents du travail;4525851;118561
2006;Ile-de-France;Maladies professionnelles;4525851;2698
2006;Centre-Val de Loire;Accidents de trajet;657062;2860
2006;Centre-Val de Loire;Accidents du travail;657062;29232
2006;Centre-Val de Loire;Maladies professionnelles;657062;1341
2006;Bourgogne-Franche-Comté;Accidents de trajet;726686;3131
2006;Bourgogne-Franche-Comté;Accidents du travail;726686;32374
2006;Bourgogne-Franche-Comté;Maladies professionnelles;726686;1632
2006;Normandie;Accidents de trajet;897563;3868
2006;Normandie;Accidents du travail;897563;36477
2006;Normandie;Maladies professionnelles;897563;1681
2006;Hauts-de-France;Accidents de trajet;1530260;5506
2006;Hauts-de-France;Accidents du travail;1530260;61452
2006;Hauts-de-France;Maladies professionnelles;1530260;965
2006;Grand Est;Accidents de trajet;1447610;5921
2006;Grand Est;Accidents du travail;1447610;60972
2006;Grand Est;Maladies professionnelles;1447610;3805
2006;Pays de la Loire;Accidents de trajet;994769;4336
2006;Pays de la Loire;Accidents du travail;994769;43992
2006;Pays de la Loire;Maladies professionnelles;994769;3542
2006;Bretagne;Accidents de trajet;812658;3054
2006;Bretagne;Accidents du travail;812658;37100
2006;Bretagne;Maladies professionnelles;812658;3751
2006;Nouvelle-Aquitaine;Accidents de trajet;1390781;5816
2006;Nouvelle-Aquitaine;Accidents du travail;1390781;58452
2006;Nouvelle-Aquitaine;Maladies professionnelles;1390781;1442
2006;Occitanie;Accidents de trajet;1296310;5074
2006;Occitanie;Accidents du travail;1296310;55062
2006;Occitanie;Maladies professionnelles;1296310;1227
2006;Auvergne-Rhône-Alpes;Accidents de trajet;2206732;9424
2006;Auvergne-Rhône-Alpes;Accidents du travail;2206732;96710
2006;Auvergne-Rhône-Alpes;Maladies professionnelles;2206732;2081
2006;Provence-Alpes-Côte d'Azur;Accidents de trajet;1243180;6686
2006;Provence-Alpes-Côte d'Azur;Accidents du travail;1243180;54798
2006;Provence-Alpes-Côte d'Azur;Maladies professionnelles;1243180;1230
2006;Corse;Accidents de trajet;66407;348
2006;Corse;Accidents du travail;66407;3267
2006;Corse;Maladies professionnelles;66407;138
2006;FRANCE;Accidents de trajet;18166049;79719
2006;FRANCE;Accidents du travail;18166049;695945
2006;FRANCE;Maladies professionnelles;18166049;25642
2007;Guadeloupe;Accidents de trajet;88320;214
2007;Guadeloupe;Accidents du travail;88320;1499
2007;Guadeloupe;Maladies professionnelles;88320;28
2007;Martinique;Accidents de trajet;88316;224
2007;Martinique;Accidents du travail;88316;2217
2007;Martinique;Maladies professionnelles;88316;1
2007;Guyane;Accidents de trajet;28340;25
2007;Guyane;Accidents du travail;28340;370
2007;Guyane;Maladies professionnelles;28340;8
2007;La Réunion;Accidents de trajet;165841;520
2007;La Réunion;Accidents du travail;165841;3937
2007;La Réunion;Maladies professionnelles;165841;68
2007;Mayotte;Accidents de trajet;0;0
2007;Mayotte;Accidents du travail;0;0
2007;Mayotte;Maladies professionnelles;0;0
2007;Ile-de-France;Accidents de trajet;4639175;23820
2007;Ile-de-France;Accidents du travail;4639175;121675
2007;Ile-de-France;Maladies professionnelles;4639175;3589
2007;Centre-Val de Loire;Accidents de trajet;671892;2791
2007;Centre-Val de Loire;Accidents du travail;671892;30550
2007;Centre-Val de Loire;Maladies professionnelles;671892;1394
2007;Bourgogne-Franche-Comté;Accidents de trajet;740009;3091
2007;Bourgogne-Franche-Comté;Accidents du travail;740009;32805
2007;Bourgogne-Franche-Comté;Maladies professionnelles;740009;1815
2007;Normandie;Accidents de trajet;911985;3936
2007;Normandie;Accidents du travail;911985;37390
2007;Normandie;Maladies professionnelles;911985;2070
2007;Hauts-de-France;Accidents de trajet;1588010;5902
2007;Hauts-de-France;Accidents du travail;1588010;65962
2007;Hauts-de-France;Maladies professionnelles;1588010;3146
2007;Grand Est;Accidents de trajet;1485534;5864
2007;Grand Est;Accidents du travail;1485534;62675
2007;Grand Est;Maladies professionnelles;1485534;4220
2007;Pays de la Loire;Accidents de trajet;1016119;4462
2007;Pays de la Loire;Accidents du travail;1016119;43891
2007;Pays de la Loire;Maladies professionnelles;1016119;3416
2007;Bretagne;Accidents de trajet;815967;2866
2007;Bretagne;Accidents du travail;815967;37422
2007;Bretagne;Maladies professionnelles;815967;3695
2007;Nouvelle-Aquitaine;Accidents de trajet;1456760;6246
2007;Nouvelle-Aquitaine;Accidents du travail;1456760;62056
2007;Nouvelle-Aquitaine;Maladies professionnelles;1456760;2107
2007;Occitanie;Accidents de trajet;1328006;5524
2007;Occitanie;Accidents du travail;1328006;57227
2007;Occitanie;Maladies professionnelles;1328006;1297
2007;Auvergne-Rhône-Alpes;Accidents de trajet;2251076;9751
2007;Auvergne-Rhône-Alpes;Accidents du travail;2251076;100495
2007;Auvergne-Rhône-Alpes;Maladies professionnelles;2251076;3281
2007;Provence-Alpes-Côte d'Azur;Accidents de trajet;1295338;7025
2007;Provence-Alpes-Côte d'Azur;Accidents du travail;1295338;54042
2007;Provence-Alpes-Côte d'Azur;Maladies professionnelles;1295338;1338
2007;Corse;Accidents de trajet;69706;387
2007;Corse;Accidents du travail;69706;3181
2007;Corse;Maladies professionnelles;69706;140
2007;FRANCE;Accidents de trajet;18640394;82648
2007;FRANCE;Accidents du travail;18640394;717394
2007;FRANCE;Maladies professionnelles;18640394;31613
2008;Guadeloupe;Accidents de trajet;88469;146
2008;Guadeloupe;Accidents du travail;88469;1245
2008;Guadeloupe;Maladies professionnelles;88469;33
2008;Martinique;Accidents de trajet;92983;244
2008;Martinique;Accidents du travail;92983;2135
2008;Martinique;Maladies professionnelles;92983;31
2008;Guyane;Accidents de trajet;29975;38
2008;Guyane;Accidents du travail;29975;486
2008;Guyane;Maladies professionnelles;29975;12
2008;La Réunion;Accidents de trajet;171005;504
2008;La Réunion;Accidents du travail;171005;4284
2008;La Réunion;Maladies professionnelles;171005;82
2008;Mayotte;Accidents de trajet;0;0
2008;Mayotte;Accidents du travail;0;0
2008;Mayotte;Maladies professionnelles;0;0
2008;Ile-de-France;Accidents de trajet;4709508;25188
2008;Ile-de-France;Accidents du travail;4709508;118657
2008;Ile-de-France;Maladies professionnelles;4709508;4050
2008;Centre-Val de Loire;Accidents de trajet;672877;2908
2008;Centre-Val de Loire;Accidents du travail;672877;29215
2008;Centre-Val de Loire;Maladies professionnelles;672877;1569
2008;Bourgogne-Franche-Comté;Accidents de trajet;746134;3120
2008;Bourgogne-Franche-Comté;Accidents du travail;746134;32002
2008;Bourgogne-Franche-Comté;Maladies professionnelles;746134;2061
2008;Normandie;Accidents de trajet;916990;4014
2008;Normandie;Accidents du travail;916990;36714
2008;Normandie;Maladies professionnelles;916990;2328
2008;Hauts-de-France;Accidents de trajet;1603701;6097
2008;Hauts-de-France;Accidents du travail;1603701;63613
2008;Hauts-de-France;Maladies professionnelles;1603701;3678
2008;Grand Est;Accidents de trajet;1497381;5905
2008;Grand Est;Accidents du travail;1497381;59547
2008;Grand Est;Maladies professionnelles;1497381;4276
2008;Pays de la Loire;Accidents de trajet;1029127;4675
2008;Pays de la Loire;Accidents du travail;1029127;45316
2008;Pays de la Loire;Maladies professionnelles;1029127;3679
2008;Bretagne;Accidents de trajet;832920;3004
2008;Bretagne;Accidents du travail;832920;36694
2008;Bretagne;Maladies professionnelles;832920;3536
2008;Nouvelle-Aquitaine;Accidents de trajet;1462938;6241
2008;Nouvelle-Aquitaine;Accidents du travail;1462938;61767
2008;Nouvelle-Aquitaine;Maladies professionnelles;1462938;3446
2008;Occitanie;Accidents de trajet;1363354;5863
2008;Occitanie;Accidents du travail;1363354;57619
2008;Occitanie;Maladies professionnelles;1363354;1451
2008;Auvergne-Rhône-Alpes;Accidents de trajet;2276200;9771
2008;Auvergne-Rhône-Alpes;Accidents du travail;2276200;97602
2008;Auvergne-Rhône-Alpes;Maladies professionnelles;2276200;4016
2008;Provence-Alpes-Côte d'Azur;Accidents de trajet;1300693;7657
2008;Provence-Alpes-Côte d'Azur;Accidents du travail;1300693;53453
2008;Provence-Alpes-Côte d'Azur;Maladies professionnelles;1300693;1494
2008;Corse;Accidents de trajet;70859;293
2008;Corse;Accidents du travail;70859;2705
2008;Corse;Maladies professionnelles;70859;157
2008;FRANCE;Accidents de trajet;18865114;85668
2008;FRANCE;Accidents du travail;18865114;703054
2008;FRANCE;Maladies professionnelles;18865114;35899
2009;Guadeloupe;Accidents de trajet;83981;122
2009;Guadeloupe;Accidents du travail;83981;844
2009;Guadeloupe;Maladies professionnelles;83981;21
2009;Martinique;Accidents de trajet;91606;220
2009;Martinique;Accidents du travail;91606;1910
2009;Martinique;Maladies professionnelles;91606;41
2009;Guyane;Accidents de trajet;31857;40
2009;Guyane;Accidents du travail;31857;355
2009;Guyane;Maladies professionnelles;31857;11
2009;La Réunion;Accidents de trajet;165831;460
2009;La Réunion;Accidents du travail;165831;3830
2009;La Réunion;Maladies professionnelles;165831;85
2009;Mayotte;Accidents de trajet;0;0
2009;Mayotte;Accidents du travail;0;0
2009;Mayotte;Maladies professionnelles;0;0
2009;Ile-de-France;Accidents de trajet;4639679;27853
2009;Ile-de-France;Accidents du travail;4639679;116396
2009;Ile-de-France;Maladies professionnelles;4639679;4682
2009;Centre-Val de Loire;Accidents de trajet;659712;3054
2009;Centre-Val de Loire;Accidents du travail;659712;25471
2009;Centre-Val de Loire;Maladies professionnelles;659712;1610
2009;Bourgogne-Franche-Comté;Accidents de trajet;718450;3139
2009;Bourgogne-Franche-Comté;Accidents du travail;718450;28229
2009;Bourgogne-Franche-Comté;Maladies professionnelles;718450;2186
2009;Normandie;Accidents de trajet;893883;3899
2009;Normandie;Accidents du travail;893883;32314
2009;Normandie;Maladies professionnelles;893883;2615
2009;Hauts-de-France;Accidents de trajet;1555129;6584
2009;Hauts-de-France;Accidents du travail;1555129;59273
2009;Hauts-de-France;Maladies professionnelles;1555129;3776
2009;Grand Est;Accidents de trajet;1454429;6222
2009;Grand Est;Accidents du travail;1454429;54599
2009;Grand Est;Maladies professionnelles;1454429;4573
2009;Pays de la Loire;Accidents de trajet;1007623;4651
2009;Pays de la Loire;Accidents du travail;1007623;40654
2009;Pays de la Loire;Maladies professionnelles;1007623;4208
2009;Bretagne;Accidents de trajet;830239;3451
2009;Bretagne;Accidents du travail;830239;34553
2009;Bretagne;Maladies professionnelles;830239;4239
2009;Nouvelle-Aquitaine;Accidents de trajet;1438461;6266
2009;Nouvelle-Aquitaine;Accidents du travail;1438461;54717
2009;Nouvelle-Aquitaine;Maladies professionnelles;1438461;3861
2009;Occitanie;Accidents de trajet;1353548;6055
2009;Occitanie;Accidents du travail;1353548;54655
2009;Occitanie;Maladies professionnelles;1353548;1815
2009;Auvergne-Rhône-Alpes;Accidents de trajet;2223892;10832
2009;Auvergne-Rhône-Alpes;Accidents du travail;2223892;88381
2009;Auvergne-Rhône-Alpes;Maladies professionnelles;2223892;4683
2009;Provence-Alpes-Côte d'Azur;Accidents de trajet;1280872;8392
2009;Provence-Alpes-Côte d'Azur;Accidents du travail;1280872;52000
2009;Provence-Alpes-Côte d'Azur;Maladies professionnelles;1280872;1850
2009;Corse;Accidents de trajet;72254;381
2009;Corse;Accidents du travail;72254;2848
2009;Corse;Maladies professionnelles;72254;176
2009;FRANCE;Accidents de trajet;18501446;91621
2009;FRANCE;Accidents du travail;18501446;651029
2009;FRANCE;Maladies professionnelles;18501446;40432
2010;Guadeloupe;Accidents de trajet;88920;120
2010;Guadeloupe;Accidents du travail;88920;939
2010;Guadeloupe;Maladies professionnelles;88920;29
2010;Martinique;Accidents de trajet;93291;274
2010;Martinique;Accidents du travail;93291;2556
2010;Martinique;Maladies professionnelles;93291;58
2010;Guyane;Accidents de trajet;33684;63
2010;Guyane;Accidents du travail;33684;379
2010;Guyane;Maladies professionnelles;33684;13
2010;La Réunion;Accidents de trajet;168270;368
2010;La Réunion;Accidents du travail;168270;3528
2010;La Réunion;Maladies professionnelles;168270;110
2010;Mayotte;Accidents de trajet;0;0
2010;Mayotte;Accidents du travail;0;0
2010;Mayotte;Maladies professionnelles;0;0
2010;Ile-de-France;Accidents de trajet;4691760;28536
2010;Ile-de-France;Accidents du travail;4691760;116797
2010;Ile-de-France;Maladies professionnelles;4691760;5125
2010;Centre-Val de Loire;Accidents de trajet;661273;3499
2010;Centre-Val de Loire;Accidents du travail;661273;26621
2010;Centre-Val de Loire;Maladies professionnelles;661273;1605
2010;Bourgogne-Franche-Comté;Accidents de trajet;723509;3455
2010;Bourgogne-Franche-Comté;Accidents du travail;723509;29062
2010;Bourgogne-Franche-Comté;Maladies professionnelles;723509;2190
2010;Normandie;Accidents de trajet;890689;4624
2010;Normandie;Accidents du travail;890689;34708
2010;Normandie;Maladies professionnelles;890689;2931
2010;Hauts-de-France;Accidents de trajet;1568008;6576
2010;Hauts-de-France;Accidents du travail;1568008;60082
2010;Hauts-de-France;Maladies professionnelles;1568008;3851
2010;Grand Est;Accidents de trajet;1458567;6264
2010;Grand Est;Accidents du travail;1458567;53032
2010;Grand Est;Maladies professionnelles;1458567;4588
2010;Pays de la Loire;Accidents de trajet;1021419;4813
2010;Pays de la Loire;Accidents du travail;1021419;39974
2010;Pays de la Loire;Maladies professionnelles;1021419;4541
2010;Bretagne;Accidents de trajet;845482;3622
2010;Bretagne;Accidents du travail;845482;33441
2010;Bretagne;Maladies professionnelles;845482;4044
2010;Nouvelle-Aquitaine;Accidents de trajet;1449291;6709
2010;Nouvelle-Aquitaine;Accidents du travail;1449291;58234
2010;Nouvelle-Aquitaine;Maladies professionnelles;1449291;4562
2010;Occitanie;Accidents de trajet;1375606;6672
2010;Occitanie;Accidents du travail;1375606;55293
2010;Occitanie;Maladies professionnelles;1375606;1824
2010;Auvergne-Rhône-Alpes;Accidents de trajet;2249645;11653
2010;Auvergne-Rhône-Alpes;Accidents du travail;2249645;90394
2010;Auvergne-Rhône-Alpes;Maladies professionnelles;2249645;4722
2010;Provence-Alpes-Côte d'Azur;Accidents de trajet;1290019;8417
2010;Provence-Alpes-Côte d'Azur;Accidents du travail;1290019;50626
2010;Provence-Alpes-Côte d'Azur;Maladies professionnelles;1290019;2047
2010;Corse;Accidents de trajet;74694;403
2010;Corse;Accidents du travail;74694;3018
2010;Corse;Maladies professionnelles;74694;183
2010;FRANCE;Accidents de trajet;18684127;96068
2010;FRANCE;Accidents du travail;18684127;658684
2010;FRANCE;Maladies professionnelles;18684127;42423
2011;Guadeloupe;Accidents de trajet;87886;170
2011;Guadeloupe;Accidents du travail;87886;1314
2011;Guadeloupe;Maladies professionnelles;87886;25
2011;Martinique;Accidents de trajet;91516;264
2011;Martinique;Accidents du travail;91516;2533
2011;Martinique;Maladies professionnelles;91516;105
2011;Guyane;Accidents de trajet;35396;42
2011;Guyane;Accidents du travail;35396;404
2011;Guyane;Maladies professionnelles;35396;21
2011;La Réunion;Accidents de trajet;172952;458
2011;La Réunion;Accidents du travail;172952;3807
2011;La Réunion;Maladies professionnelles;172952;86
2011;Mayotte;Accidents de trajet;0;0
2011;Mayotte;Accidents du travail;0;0
2011;Mayotte;Maladies professionnelles;0;0
2011;Ile-de-France;Accidents de trajet;4727698;31611
2011;Ile-de-France;Accidents du travail;4727698;114866
2011;Ile-de-France;Maladies professionnelles;4727698;5316
2011;Centre-Val de Loire;Accidents de trajet;667860;3606
2011;Centre-Val de Loire;Accidents du travail;667860;26803
2011;Centre-Val de Loire;Maladies professionnelles;667860;1697
2011;Bourgogne-Franche-Comté;Accidents de trajet;730800;3270
2011;Bourgogne-Franche-Comté;Accidents du travail;730800;28548
2011;Bourgogne-Franche-Comté;Maladies professionnelles;730800;2478
2011;Normandie;Accidents de trajet;903784;4210
2011;Normandie;Accidents du travail;903784;34852
2011;Normandie;Maladies professionnelles;903784;3490
2011;Hauts-de-France;Accidents de trajet;1565087;6848
2011;Hauts-de-France;Accidents du travail;1565087;62598
2011;Hauts-de-France;Maladies professionnelles;1565087;4611
2011;Grand Est;Accidents de trajet;1464522;6728
2011;Grand Est;Accidents du travail;1464522;55671
2011;Grand Est;Maladies professionnelles;1464522;4541
2011;Pays de la Loire;Accidents de trajet;1038944;4484
2011;Pays de la Loire;Accidents du travail;1038944;43136
2011;Pays de la Loire;Maladies professionnelles;1038944;5110
2011;Bretagne;Accidents de trajet;851928;3164
2011;Bretagne;Accidents du travail;851928;36480
2011;Bretagne;Maladies professionnelles;851928;4628
2011;Nouvelle-Aquitaine;Accidents de trajet;1466167;6380
2011;Nouvelle-Aquitaine;Accidents du travail;1466167;56309
2011;Nouvelle-Aquitaine;Maladies professionnelles;1466167;4189
2011;Occitanie;Accidents de trajet;1382297;6248
2011;Occitanie;Accidents du travail;1382297;56650
2011;Occitanie;Maladies professionnelles;1382297;2128
2011;Auvergne-Rhône-Alpes;Accidents de trajet;2283992;11271
2011;Auvergne-Rhône-Alpes;Accidents du travail;2283992;91496
2011;Auvergne-Rhône-Alpes;Maladies professionnelles;2283992;5371
2011;Provence-Alpes-Côte d'Azur;Accidents de trajet;1328589;8436
2011;Provence-Alpes-Côte d'Azur;Accidents du travail;1328589;51026
2011;Provence-Alpes-Côte d'Azur;Maladies professionnelles;1328589;2291
2011;Corse;Accidents de trajet;77973;450
2011;Corse;Accidents du travail;77973;3091
2011;Corse;Maladies professionnelles;77973;208
2011;FRANCE;Accidents de trajet;18877391;97640
2011;FRANCE;Accidents du travail;18877391;669584
2011;FRANCE;Maladies professionnelles;18877391;46295
2012;Guadeloupe;Accidents de trajet;88364;243
2012;Guadeloupe;Accidents du travail;88364;1649
2012;Guadeloupe;Maladies professionnelles;88364;43
2012;Martinique;Accidents de trajet;90296;298
2012;Martinique;Accidents du travail;90296;2398
2012;Martinique;Maladies professionnelles;90296;102
2012;Guyane;Accidents de trajet;35630;57
2012;Guyane;Accidents du travail;35630;436
2012;Guyane;Maladies professionnelles;35630;33
2012;La Réunion;Accidents de trajet;176976;365
2012;La Réunion;Accidents du travail;176976;3229
2012;La Réunion;Maladies professionnelles;176976;27
2012;Mayotte;Accidents de trajet;0;0
2012;Mayotte;Accidents du travail;0;0
2012;Mayotte;Maladies professionnelles;0;0
2012;Ile-de-France;Accidents de trajet;4710638;26366
2012;Ile-de-France;Accidents du travail;4710638;112180
2012;Ile-de-France;Maladies professionnelles;4710638;5192
2012;Centre-Val de Loire;Accidents de trajet;656747;2930
2012;Centre-Val de Loire;Accidents du travail;656747;25399
2012;Centre-Val de Loire;Maladies professionnelles;656747;1620
2012;Bourgogne-Franche-Comté;Accidents de trajet;716261;2967
2012;Bourgogne-Franche-Comté;Accidents du travail;716261;27184
2012;Bourgogne-Franche-Comté;Maladies professionnelles;716261;2418
2012;Normandie;Accidents de trajet;880786;3822
2012;Normandie;Accidents du travail;880786;32775
2012;Normandie;Maladies professionnelles;880786;3318
2012;Hauts-de-France;Accidents de trajet;1529136;5796
2012;Hauts-de-France;Accidents du travail;1529136;58817
2012;Hauts-de-France;Maladies professionnelles;1529136;4191
2012;Grand Est;Accidents de trajet;1424350;5382
2012;Grand Est;Accidents du travail;1424350;50970
2012;Grand Est;Maladies professionnelles;1424350;5035
2012;Pays de la Loire;Accidents de trajet;1040683;4324
2012;Pays de la Loire;Accidents du travail;1040683;40371
2012;Pays de la Loire;Maladies professionnelles;1040683;4910
2012;Bretagne;Accidents de trajet;843418;2833
2012;Bretagne;Accidents du travail;843418;34055
2012;Bretagne;Maladies professionnelles;843418;4056
2012;Nouvelle-Aquitaine;Accidents de trajet;1457965;6253
2012;Nouvelle-Aquitaine;Accidents du travail;1457965;55875
2012;Nouvelle-Aquitaine;Maladies professionnelles;1457965;4559
2012;Occitanie;Accidents de trajet;1372771;6535
2012;Occitanie;Accidents du travail;1372771;55049
2012;Occitanie;Maladies professionnelles;1372771;2052
